word
horrible
abysmal
jengkel
payah
kecewa
berngsek
holy
inferior
dreadful
subpar
pathetic
buruk
atrocious
frustrating
unsatisfactory
sebal
dislike
appalling
murung
poor
shit
disappointing
mediocre
inadequate
benci
awful
terrible
mengecewakan
annoying
bad
kesal
marah
irritating
unpleasant
negative
menyebalkan
sedih
hate
horrendous
tidak bagus
jelek
lousy
geram
parah
